,Te[K],t(min),Tc[K],dT[K],P[bar],TR[K/W],GFE[KJ/mol],GFE_Tc[KJ/mol],dG[KJ/mol]
0,300.47999999999996,0.25,299.025,1.455,1.0132495713687668,0.018229500000000003,32.88259398724693,32.723368167720025,0.15922581952689896
1,302.82,1.0,299.15,3.67,1.0132495713687668,0.045833,33.13866850112526,32.73704736183746,0.40162113928779775
2,303.82,1.5,299.9,3.92,1.0132495713687668,0.048958,33.24810205406471,32.81912252654205,0.42897952752265667
3,305.47999999999996,2.0,299.9,5.58,1.0132495713687668,0.069792,33.4297617519442,32.81912252654205,0.6106392254021458
4,308.15,2.5,299.9,8.25,1.0132495713687668,0.103125,33.721949338292546,32.81912252654205,0.9028268117504936
5,312.47999999999996,3.0,300.9,11.58,1.0132495713687668,0.144792,34.19579662252037,32.9285560794815,1.2672405430388665
6,313.82,3.5,301.9,11.92,1.0132495713687668,0.148958,34.342437583459244,33.03798963242096,1.3044479510382843
7,315.15,4.0,302.4,12.75,1.0625788268169831,0.159375,159.04041538881467,152.6061291879345,6.434286200880166
8,316.15,4.5,302.15,14.0,1.0625788268169831,0.175,159.54506528692292,152.47996671340744,7.065098573515485
9,318.82,5.0,302.9,15.92,1.0625788268169831,0.198958,160.89248051487195,152.85845413698863,8.034026377883322
10,320.15,5.5,303.4,16.75,1.0625788268169831,0.209375,161.5636648793559,153.11077908604275,8.452885793313158
11,322.15,6.0,304.9,17.25,1.0625788268169831,0.215625,162.57296467557242,153.86775393320514,8.705210742367285
12,323.15,6.5,305.15,18.0,1.0625788268169831,0.225,163.07761457368065,153.9939164077322,9.083698165948448
13,324.15,7.0,305.65,18.5,1.0625788268169831,0.23125,163.58226447178893,154.2462413567863,9.336023115002632
14,326.15,7.5,306.15,20.0,1.1119080822651994,0.25,287.64101480026767,270.0024426831273,17.63857211714037
15,327.82,8.0,307.15,20.67,1.1119080822651994,0.258333,289.11383557204897,270.8843712889843,18.229464283064658
16,329.15,8.5,307.65,21.5,1.1119080822651994,0.26875,290.28680061783876,271.3253355919128,18.961465025925975
17,330.47999999999996,9.0,307.9,22.58,1.1119080822651994,0.282292,291.4597656636286,271.5458177433771,19.91394792025153
18,332.15,9.5,308.4,23.75,1.1119080822651994,0.296875,292.9325864354098,271.98678204630556,20.94580438910424
19,332.82,10.0,309.4,23.42,1.1119080822651994,0.292708,293.52347860133403,272.86871065216263,20.6547679491714
20,333.82,10.5,309.4,24.42,1.1119080822651994,0.305208,294.4054072071911,272.86871065216263,21.53669655502847
21,334.82,11.0,310.15,24.67,1.1119080822651994,0.308333,295.2873358130481,273.53015710655535,21.757178706492766
22,335.82,11.5,310.65,25.17,1.1599041145931936,0.314583,414.15896805963087,383.11739452005344,31.041573539577428
23,337.47999999999996,12.0,310.9,26.58,1.1599041145931936,0.332292,416.2062073157174,383.4257136851267,32.78049363059068
24,338.47999999999996,12.5,311.65,26.83,1.1599041145931936,0.335417,417.43948397601054,384.3506711803465,33.08881279566401
25,339.15,13.0,312.15,27.0,1.1599041145931936,0.3375,418.26577933840696,384.96730951049307,33.29846982791389
26,339.82,13.5,312.65,27.17,1.1599041145931936,0.339583,419.0920747008034,385.58394784063967,33.50812686016371
27,341.82,14.0,312.65,29.17,1.1599041145931936,0.364583,421.55862802138955,385.58394784063967,35.974680180749885
28,342.47999999999996,14.5,313.4,29.08,1.20923337004141,0.363542,540.963745930921,495.03047761840304,45.93326831251801
29,343.82,15.0,313.65,30.17,1.20923337004141,0.377083,543.080340825652,495.4253647256289,47.65497610002308
30,345.15,15.5,314.65,30.5,1.20923337004141,0.38125,545.1811402360938,497.0049131545326,48.17622708156125
31,345.82,16.0,315.15,30.67,1.20923337004141,0.383333,546.2394376834593,497.7946873689844,48.4447503144749
32,347.47999999999996,16.5,315.65,31.83,1.20923337004141,0.397917,548.8614880754393,498.5844615834363,50.27702649200302
33,348.15,17.0,316.4,31.75,1.20923337004141,0.396875,549.9197855228048,499.769122905114,50.150662617690784
34,348.82,17.5,316.4,32.42,1.20923337004141,0.405208,550.9780829701702,499.769122905114,51.20896006505626
35,349.47999999999996,18.0,316.65,32.83,1.20923337004141,0.410417,552.0205849332466,500.1640100123399,51.85657492090672
36,349.82,18.5,317.4,32.42,1.2585626254896263,0.405208,668.8464102451167,606.8602441592819,61.986166085834725
37,350.82,19.0,317.9,32.92,1.2585626254896263,0.411458,670.7583832890966,607.816230681272,62.942152607824596
38,351.82,19.5,318.4,33.42,1.2585626254896263,0.417708,672.6703563330768,608.772217203262,63.89813912981481
39,352.15,20.0,318.65,33.5,1.2585626254896263,0.41875,673.3013074375903,609.250210464257,64.0510969733333
40,352.82,20.5,318.9,33.92,1.3078918809378424,0.423958,787.3585904029636,711.6621917110851,75.69639869187847
41,353.15,21.0,319.4,33.75,1.3078918809378424,0.421875,788.0950235270295,712.7779994748216,75.3170240522079
42,353.82,21.5,322.4,31.42,1.3078918809378424,0.392708,789.5902059304364,719.4728460572401,70.11735987319628
43,355.15,22.0,322.4,32.75,1.3078918809378424,0.409375,792.5582545819752,719.4728460572401,73.08540852473516
44,355.47999999999996,22.5,320.65,34.83,1.3078918809378424,0.435417,793.2946877060411,715.5675188841626,77.72716882187854
45,356.15,23.0,320.9,35.25,1.3078918809378424,0.440625,794.789870109448,716.1254227660309,78.66444734341712
46,357.15,23.5,320.9,36.25,1.3078918809378424,0.453125,797.0214856369209,716.1254227660309,80.89606287089009
47,357.47999999999996,24.0,321.4,36.08,1.3558879132658366,0.451042,904.8718074522128,813.5442511892727,91.3275562629401
48,358.82,25.0,322.025,36.795,1.3558879132658366,0.4598955,908.263684541801,815.1262834138939,93.13740112790708
49,359.47999999999996,25.0,322.4,37.08,1.3558879132658366,0.463542,909.9343105710011,816.0755027486667,93.85880782233437
50,359.82,26.0,322.9,36.92,1.4052171687140529,0.461458,1017.6987387007711,913.2758677296398,104.42287097113126
51,361.15,26.75,323.775,37.375,1.4052171687140529,0.4671875,1021.460451008236,915.7506784582351,105.70977255000088
52,361.82,27.5,323.9,37.92,1.4052171687140529,0.473958,1023.3554489375604,916.1042228480344,107.25122608952597
53,362.47999999999996,28.25,324.4,38.08,1.4052171687140529,0.476042,1025.2221633157008,917.5184004072318,107.703762908469
54,362.82,29.0,323.9,38.92,1.4052171687140529,0.486458,1026.183804055955,916.1042228480344,110.07958120792068
55,363.15,41.0,335.65,27.5,1.5038756796104855,0.34375,1231.9830357546398,1138.6895386232818,93.29349713135798
56,363.82,36.75,329.525,34.295,1.4545464241622692,0.4286455,1131.634081884095,1026.05513930888,105.57894257521525
57,364.15,33.1,327.6,36.55,1.4444139284485815,0.456875,1109.0019891072498,999.763946028391,109.23804307885874
58,364.47999999999996,35.666666666666664,328.9833333333333,35.49666666666666,1.4705451016049338,0.4437503333333333,1162.7590657153858,1052.2921278968636,110.46693781852214
59,364.82,34.0,326.15,38.67,1.4052171687140529,0.483333,1031.8405142927445,922.4680218644223,109.37249242832218
60,365.15,42.0,336.15,29.0,1.577202951222699,0.36250000000000004,1382.945916582708,1273.1764145288425,109.76950205386538
61,365.47999999999996,33.5,325.9,39.58,1.4052171687140529,0.494792,1033.707228670885,921.7609330848238,111.94629558606107
62,365.82,35.625,327.7125,38.1075,1.4052171687140529,0.47630175,1034.668869411139,926.887326736914,107.78154267422491
63,366.15,37.75,329.4,36.75,1.4542131183822136,0.459375,1134.965564150509,1023.2893742072035,111.67618994330542
64,366.47999999999996,42.0,336.65,29.83,1.601200967386696,0.372917,1434.347146760016,1317.5970501985355,116.7500965614804
65,366.82,43.5,337.15,29.67,1.601200967386696,0.370833,1435.6778552022186,1319.5539743782454,116.1238808239732
66,367.15,46.0,338.9,28.25,1.6998594782831287,0.353125,1619.4825016674954,1494.8729941852491,124.60950748224627
67,367.47999999999996,45.75,339.9,27.58,1.6751948505590204,0.344792,1575.9513952234443,1457.7653730213779,118.18602220206617
68,367.82,37.0,326.9,40.92,1.4052171687140529,0.511458,1040.3255796479284,924.5892882032184,115.73629144470999
69,368.15,41.5,333.4,34.75,1.5525383234985908,0.43437499999999996,1332.5761972607825,1211.3431438657656,121.23305339501678
70,368.47999999999996,41.666666666666664,332.4,36.08,1.5034312719037448,0.451042,1236.5778870741126,1119.8495733990483,116.72831367506421
71,368.82,48.25,341.4,27.42,1.6998594782831287,0.342708,1626.8487982160034,1505.9003842279258,120.94841398807762
72,369.15,38.5,327.65,41.5,1.4052171687140529,0.51875,1044.0872919553933,926.7105545420143,117.37673741337903
73,369.47999999999996,46.125,338.775,30.705,1.6261989008908597,0.3838545,1483.5751841765684,1364.3900909018162,119.18509327475229
74,369.82,50.0,343.15,26.67,1.6998594782831287,0.333333,1631.2597542330743,1513.6195572577994,117.64019697527488
