Time (Min),Condenser 1 (oC),Condenser 2 (oC),Condenser 3 (oC),Condenser 4 (oC),Tc - AVG 1&2 (oC),Evaporator 1 (oC),Evaporator 2 (oC),Evaporator 3 (oC),Evaporator 4 (oC),Evaporator 3 (oC),"Te - AVG 1,2,3 (oC)",Pressure (mm of Hg),Pressure (mm of Hg),Te - Tc (oC),Q (W),Resistance (oC/W)
0,29,29,28,29,28.75,29,29,29,29,29,29.00,-475.00,285,0.25,80,0.003125
0.5,29,29,28,29,28.75,29,30,30,30,30,29.67,-475.00,285,0.92,80,0.011458
1,29,29,29,29,29.00,30,31,31,32,31,30.67,-475.00,285,1.67,80,0.020833
1.5,29,29,29,29,29.00,31,33,33,34,32,32.00,-475.00,285,3.00,80,0.037500
2,30,30,30,30,30.00,31,35,35,36,33,33.00,-475.00,285,3.00,80,0.037500
2.5,31,31,30,31,30.75,32,37,37,38,33,34.00,-475.00,285,3.25,80,0.040625
3,31,31,31,31,31.00,33,39,40,40,35,35.67,-475.00,285,4.67,80,0.058333
3.5,32,32,32,32,32.00,35,41,42,43,37,37.67,-475.00,285,5.67,80,0.070833
4,33,33,33,33,33.00,36,43,45,45,39,39.33,-475.00,285,6.33,80,0.079167
4.5,33,34,33,34,33.50,37,45,47,46,40,40.67,-475.00,285,7.17,80,0.089583
5,34,35,35,35,34.75,39,48,49,48,42,43.00,-475.00,285,8.25,80,0.103125
5.5,35,36,35,36,35.50,40,50,51,50,43,44.33,-475.00,285,8.83,80,0.110417
6,35,37,36,37,36.25,41,52,53,52,45,46.00,-475.00,285,9.75,80,0.121875
6.5,36,38,37,37,37.00,43,53,55,55,46,47.33,-475.00,285,10.33,80,0.129167
7,37,39,38,39,38.25,44,55,57,57,47,48.67,-450.00,310,10.42,80,0.130208
7.5,37,40,39,39,38.75,45,57,58,59,49,50.33,-450.00,310,11.58,80,0.144792
8,38,40,40,40,39.50,46,59,60,60,50,51.67,-450.00,310,12.17,80,0.152083
8.5,39,41,41,41,40.50,47,60,62,62,51,52.67,-450.00,310,12.17,80,0.152083
9,39,42,41,42,41.00,48,62,63,62,53,54.33,-425.00,335,13.33,80,0.166667
9.5,40,43,42,43,42.00,49,63,65,64,54,55.33,-425.00,335,13.33,80,0.166667
10,40,44,43,44,42.75,50,65,66,66,55,56.67,-425.00,335,13.92,80,0.173958
10.5,41,44,44,45,43.50,51,66,68,67,56,57.67,-400.00,360,14.17,80,0.177083
11,41,45,45,45,44.00,51,67,69,68,57,58.33,-400.00,360,14.33,80,0.179167
11.5,42,46,45,46,44.75,52,69,71,70,59,60.00,-400.00,360,15.25,80,0.190625
12,42,46,45,46,44.75,53,70,72,71,59,60.67,-400.00,360,15.92,80,0.198958
12.5,43,47,46,47,45.75,54,71,73,72,60,61.67,-375.00,385,15.92,80,0.198958
13,43,48,47,48,46.50,55,72,75,73,61,62.67,-375.00,385,16.17,80,0.202083
13.5,44,48,47,48,46.75,55,73,75,74,62,63.33,-350.00,410,16.58,80,0.207292
14,44,49,48,49,47.50,56,75,76,75,63,64.67,-350.00,410,17.17,80,0.214583
14.5,44,49,48,49,47.50,56,75,76,75,64,65.00,-325.00,435,17.50,80,0.218750
15,45,50,49,50,48.50,57,76,77,76,64,65.67,-325.00,435,17.17,80,0.214583
15.5,45,51,50,51,49.25,58,77,78,77,65,66.67,-300.00,460,17.42,80,0.217708
16,45,51,51,51,49.50,58,78,78,77,66,67.33,-300.00,460,17.83,80,0.222917
16.5,46,52,51,52,50.25,59,79,79,78,67,68.33,-300.00,460,18.08,80,0.226042
17,47,53,52,53,51.25,59,79,80,79,67,68.33,-300.00,460,17.08,80,0.213542
17.5,47,53,53,54,51.75,60,80,80,79,68,69.33,-275.00,485,17.58,80,0.219792
18,47,55,53,54,52.25,61,81,81,80,69,70.33,-250.00,510,18.08,80,0.226042
18.5,47,55,53,55,52.50,61,81,81,80,69,70.33,-250.00,510,17.83,80,0.222917
19,48,57,54,56,53.75,62,82,82,81,70,71.33,-250.00,510,17.58,80,0.219792
19.5,49,57,55,56,54.25,62,83,82,82,71,72.00,-250.00,510,17.75,80,0.221875
20,49,58,55,57,54.75,63,83,83,82,71,72.33,-225.00,535,17.58,80,0.219792
20.5,49,59,56,57,55.25,63,84,83,83,72,73.00,-225.00,535,17.75,80,0.221875
21,50,60,57,58,56.25,64,84,84,83,73,73.67,-200.00,560,17.42,80,0.217708
21.5,50,60,57,58,56.25,64,85,84,83,73,74.00,-200.00,560,17.75,80,0.221875
22,50,61,57,59,56.75,65,86,85,84,74,75.00,-200.00,560,18.25,80,0.228125
22.5,51,61,57,59,57.00,65,86,85,85,74,75.00,-200.00,560,18.00,80,0.225000
23,51,62,58,60,57.75,66,86,86,86,74,75.33,-200.00,560,17.58,80,0.219792
23.5,51,62,59,60,58.00,66,87,86,86,75,76.00,-175.00,585,18.00,80,0.225000
24,52,63,59,61,58.75,66,87,86,86,75,76.00,-175.00,585,17.25,80,0.215625
24.5,52,63,60,61,59.00,66,87,87,87,76,76.33,-150.00,610,17.33,80,0.216667
25,53,63,60,61,59.25,66,88,88,88,76,76.67,-150.00,610,17.42,80,0.217708
25.5,53,63,61,61,59.50,67,89,89,89,76,77.33,-150.00,610,17.83,80,0.222917
26,53,63,61,61,59.50,67,87,90,88,77,77.00,-150.00,610,17.50,80,0.218750
26.5,53,63,62,61,59.75,68,87,90,89,77,77.33,-150.00,610,17.58,80,0.219792
27,53,64,62,61,60.00,68,87,90,89,77,77.33,-150.00,610,17.33,80,0.216667
27.5,53,64,62,61,60.00,68,88,91,89,77,77.67,-150.00,610,17.67,80,0.220833
28,54,64,62,61,60.25,68,88,91,90,78,78.00,-150.00,610,17.75,80,0.221875
28.5,54,64,63,61,60.50,69,88,91,91,78,78.33,-150.00,610,17.83,80,0.222917
29,54,64,64,61,60.75,69,88,91,91,79,78.67,-150.00,610,17.92,80,0.223958
29.5,54,64,65,61,61.00,69,89,91,91,79,79.00,-150.00,610,18.00,80,0.225000
30,55,64,66,62,61.75,69,88,92,91,79,78.67,-125.00,635,16.92,80,0.211458
30.5,55,64,66,62,61.75,69,89,92,92,80,79.33,-125.00,635,17.58,80,0.219792
31,55,64,66,62,61.75,70,89,92,92,80,79.67,-125.00,635,17.92,80,0.223958
31.5,55,65,66,62,62.00,70,90,92,93,80,80.00,-125.00,635,18.00,80,0.225000
32,55,65,67,62,62.25,70,91,92,93,80,80.33,-125.00,635,18.08,80,0.226042
32.5,55,65,66,62,62.00,70,91,92,93,80,80.33,-125.00,635,18.33,80,0.229167
33,55,65,66,62,62.00,70,92,92,93,80,80.67,-125.00,635,18.67,80,0.233333
33.5,56,65,67,62,62.50,70,91,92,94,81,80.67,-100.00,660,18.17,80,0.227083
34,56,65,67,63,62.75,71,91,93,94,81,81.00,-100.00,660,18.25,80,0.228125
34.5,56,66,67,63,63.00,70,91,94,95,81,80.67,-100.00,660,17.67,80,0.220833
35,56,66,67,63,63.00,71,92,94,95,81,81.33,-100.00,660,18.33,80,0.229167
35.5,56,66,67,63,63.00,71,92,94,96,82,81.67,-100.00,660,18.67,80,0.233333
36,56,66,67,63,63.00,71,93,94,97,82,82.00,-100.00,660,19.00,80,0.237500
36.5,56,65,67,62,62.50,71,93,94,99,82,82.00,-100.00,660,19.50,80,0.243750
37,56,65,67,62,62.50,71,93,94,100,81,81.67,-100.00,660,19.17,80,0.239583
37.5,56,66,68,63,63.25,71,93,94,100,82,82.00,-100.00,660,18.75,80,0.234375
38,57,66,68,63,63.50,71,93,94,100,82,82.00,-100.00,660,18.50,80,0.231250
38.5,57,67,68,63,63.75,71,93,94,100,82,82.00,-75.00,685,18.25,80,0.228125
39,57,67,68,63,63.75,71,92,94,102,83,82.00,-75.00,685,18.25,80,0.228125
39.5,57,67,69,63,64.00,71,93,94,103,83,82.33,-75.00,685,18.33,80,0.229167
40,57,67,69,63,64.00,71,93,94,104,82,82.00,-75.00,685,18.00,80,0.225000
40.5,57,67,69,63,64.00,72,93,95,104,83,82.67,-50.00,710,18.67,80,0.233333
41,57,67,69,63,64.00,72,93,94,104,83,82.67,-50.00,710,18.67,80,0.233333
41.5,57,67,69,63,64.00,72,93,95,104,83,82.67,-50.00,710,18.67,80,0.233333
42,57,67,68,63,63.75,72,93,95,105,82,82.33,-50.00,710,18.58,80,0.232292
42.5,57,67,69,63,64.00,72,93,95,105,82,82.33,-50.00,710,18.33,80,0.229167
43,57,67,68,63,63.75,72,93,95,105,82,82.33,-50.00,710,18.58,80,0.232292
43.5,57,67,68,63,63.75,72,94,96,104,83,83.00,-50.00,710,19.25,80,0.240625
44,57,67,68,63,63.75,72,94,96,107,82,82.67,-50.00,710,18.92,80,0.236458
44.5,58,67,69,63,64.25,72,94,96,108,82,82.67,-50.00,710,18.42,80,0.230208
45,58,67,69,63,64.25,72,94,96,108,83,83.00,-50.00,710,18.75,80,0.234375
45.5,57,67,68,63,63.75,72,93,96,108,82,82.33,-50.00,710,18.58,80,0.232292
46,57,67,68,63,63.75,73,93,96,108,82,82.67,-50.00,710,18.92,80,0.236458
46.5,59,68,69,64,65.00,73,93,97,101,84,83.33,-50.00,710,18.33,80,0.229167
47,58,68,69,63,64.50,73,93,97,102,84,83.33,-50.00,710,18.83,80,0.235417
47.5,59,68,69,64,65.00,73,93,97,103,84,83.33,-50.00,710,18.33,80,0.229167
48,59,67,69,64,64.75,73,93,98,104,84,83.33,-50.00,710,18.58,80,0.232292
48.5,58,67,69,63,64.25,73,93,98,104,84,83.33,-50.00,710,19.08,80,0.238542
49,58,68,69,64,64.75,73,93,98,105,84,83.33,-50.00,710,18.58,80,0.232292
49.5,59,68,69,64,65.00,73,93,99,107,84,83.33,-50.00,710,18.33,80,0.229167
50,59,68,69,64,65.00,73,93,100,109,84,83.33,-50.00,710,18.33,80,0.229167
50.5,59,69,69,64,65.25,73,93,100,108,83,83.00,-50.00,710,17.75,80,0.221875
51,59,69,69,64,65.25,73,93,100,108,84,83.33,-25.00,735,18.08,80,0.226042
51.5,58,69,69,63,64.75,73,93,100,109,83,83.00,-25.00,735,18.25,80,0.228125
52,58,69,68,63,64.50,73,93,101,109,83,83.00,-25.00,735,18.50,80,0.231250
52.5,58,68,68,63,64.25,73,94,101,108,83,83.33,-25.00,735,19.08,80,0.238542
53,58,69,69,63,64.75,73,94,102,107,84,83.67,-25.00,735,18.92,80,0.236458
53.5,59,70,70,65,66.00,73,93,101,107,84,83.33,-25.00,735,17.33,80,0.216667
54,59,70,70,65,66.00,73,93,101,108,84,83.33,-25.00,735,17.33,80,0.216667
54.5,59,70,70,65,66.00,73,93,101,107,84,83.33,0.00,760,17.33,80,0.216667
55,59,70,71,65,66.25,74,93,102,107,84,83.67,0.00,760,17.42,80,0.217708
55.5,59,70,72,65,66.50,74,93,102,108,84,83.67,0.00,760,17.17,80,0.214583
56,58,69,71,64,65.50,73,95,102,108,84,84.00,0.00,760,18.50,80,0.231250
56.5,59,69,73,65,66.50,74,93,103,107,84,83.67,0.00,760,17.17,80,0.214583
57,58,68,73,65,66.00,74,93,102,107,83,83.33,0.00,760,17.33,80,0.216667
57.5,58,67,74,64,65.75,73,94,102,108,83,83.33,0.00,760,17.58,80,0.219792
58,58,68,74,64,66.00,74,95,102,108,83,84.00,0.00,760,18.00,80,0.225000
58.5,59,69,74,66,67.00,73,93,102,106,84,83.33,0.00,760,16.33,80,0.204167
59,59,69,82,71,70.25,72,95,100,103,86,84.33,0.00,760,14.08,80,0.176042
59.5,59,68,83,72,70.50,72,98,98,102,86,85.33,0.05,797,14.83,80,0.185417
60,,,,,,,,,,,,,,,,